Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
175.61	1.8636e-07	28.230	0.035423	-12.440	-12.440	-49.524	56.727	70.390	1625.1	-0.40884	12813.	0.22041	0.035068	1.2764e-07	7.8344e+06	28.219	29.679	190.32	31.874	40.287	239.95	1.1874e+06	5.8217	0.0067407
176.17	2.0432e-07	28.213	0.035444	-12.400	-12.400	-49.299	56.727	70.456	1620.4	-0.40800	12490.	0.22038	0.034984	1.3949e-07	7.1690e+06	28.237	29.701	189.68	31.935	40.353	240.29	1.1385e+06	5.8386	0.0067715
176.73	2.2385e-07	28.196	0.035466	-12.360	-12.360	-49.075	56.725	70.515	1615.7	-0.40723	12171.	0.22035	0.034900	1.5235e-07	6.5640e+06	28.254	29.723	189.04	31.997	40.420	240.64	1.0917e+06	5.8556	0.0068023
177.29	2.4508e-07	28.179	0.035487	-12.321	-12.321	-48.851	56.721	70.568	1611.2	-0.40651	11858.	0.22031	0.034816	1.6628e-07	6.0138e+06	28.271	29.745	188.41	32.061	40.490	240.98	1.0469e+06	5.8725	0.0068331
177.86	2.6821e-07	28.162	0.035509	-12.281	-12.281	-48.628	56.716	70.615	1606.7	-0.40584	11551.	0.22028	0.034733	1.8139e-07	5.5130e+06	28.288	29.767	187.79	32.127	40.561	241.33	1.0041e+06	5.8895	0.0068640
178.42	2.9327e-07	28.145	0.035530	-12.241	-12.241	-48.405	56.710	70.657	1602.3	-0.40523	11251.	0.22024	0.034650	1.9775e-07	5.0569e+06	28.305	29.788	187.16	32.195	40.635	241.67	9.6319e+05	5.9065	0.0068950
178.98	3.2057e-07	28.128	0.035552	-12.202	-12.202	-48.183	56.703	70.694	1597.9	-0.40466	10957.	0.22020	0.034567	2.1546e-07	4.6412e+06	28.322	29.810	186.55	32.265	40.711	242.01	9.2401e+05	5.9235	0.0069260
179.54	3.5018e-07	28.111	0.035574	-12.162	-12.162	-47.961	56.696	70.727	1593.6	-0.40413	10671.	0.22016	0.034485	2.3462e-07	4.2623e+06	28.339	29.832	185.93	32.337	40.788	242.35	8.8650e+05	5.9405	0.0069570
180.10	3.8228e-07	28.093	0.035596	-12.122	-12.122	-47.740	56.687	70.755	1589.4	-0.40365	10392.	0.22012	0.034403	2.5533e-07	3.9165e+06	28.356	29.854	185.33	32.411	40.868	242.69	8.5061e+05	5.9574	0.0069881
180.66	4.1705e-07	28.076	0.035618	-12.083	-12.083	-47.520	56.679	70.779	1585.3	-0.40320	10120.	0.22008	0.034322	2.7772e-07	3.6008e+06	28.374	29.875	184.72	32.486	40.951	243.02	8.1625e+05	5.9744	0.0070193
181.23	4.5476e-07	28.059	0.035640	-12.043	-12.043	-47.300	56.670	70.801	1581.2	-0.40278	9855.9	0.22003	0.034240	3.0189e-07	3.3125e+06	28.391	29.897	184.12	32.564	41.036	243.36	7.8335e+05	5.9914	0.0070505
181.79	4.9560e-07	28.041	0.035662	-12.003	-12.003	-47.081	56.661	70.819	1577.1	-0.40240	9599.4	0.21998	0.034160	3.2799e-07	3.0489e+06	28.408	29.919	183.53	32.644	41.123	243.69	7.5185e+05	6.0084	0.0070817
182.35	5.3986e-07	28.024	0.035684	-11.963	-11.963	-46.863	56.653	70.834	1573.2	-0.40205	9350.3	0.21993	0.034079	3.5614e-07	2.8079e+06	28.425	29.941	182.94	32.726	41.212	244.02	7.2168e+05	6.0254	0.0071130
182.91	5.8762e-07	28.006	0.035706	-11.923	-11.923	-46.645	56.644	70.847	1569.2	-0.40172	9108.6	0.21988	0.033999	3.8650e-07	2.5874e+06	28.442	29.963	182.35	32.811	41.304	244.35	6.9279e+05	6.0425	0.0071443
183.47	6.3939e-07	27.989	0.035729	-11.884	-11.884	-46.427	56.636	70.858	1565.4	-0.40141	8874.3	0.21983	0.033919	4.1921e-07	2.3854e+06	28.459	29.984	181.77	32.897	41.398	244.68	6.6511e+05	6.0595	0.0071757
184.03	6.9526e-07	27.971	0.035751	-11.844	-11.844	-46.211	56.627	70.866	1561.6	-0.40113	8647.3	0.21978	0.033840	4.5445e-07	2.2005e+06	28.476	30.006	181.19	32.986	41.495	245.00	6.3859e+05	6.0765	0.0072072
184.60	7.5552e-07	27.954	0.035773	-11.804	-11.804	-45.995	56.620	70.873	1557.8	-0.40087	8427.3	0.21972	0.033761	4.9239e-07	2.0309e+06	28.493	30.028	180.62	33.077	41.595	245.33	6.1319e+05	6.0935	0.0072387
185.16	8.2067e-07	27.936	0.035796	-11.764	-11.764	-45.780	56.612	70.879	1554.1	-0.40063	8214.3	0.21966	0.033682	5.3321e-07	1.8754e+06	28.511	30.050	180.05	33.170	41.697	245.65	5.8884e+05	6.1106	0.0072702
185.72	8.9091e-07	27.919	0.035818	-11.724	-11.724	-45.565	56.606	70.883	1550.5	-0.40040	8008.1	0.21961	0.033604	5.7712e-07	1.7328e+06	28.528	30.071	179.48	33.266	41.801	245.97	5.6551e+05	6.1276	0.0073018
186.28	9.6669e-07	27.901	0.035841	-11.685	-11.685	-45.351	56.600	70.886	1546.9	-0.40019	7808.5	0.21955	0.033526	6.2431e-07	1.6018e+06	28.545	30.093	178.92	33.364	41.909	246.29	5.4314e+05	6.1446	0.0073335
186.84	1.0483e-06	27.884	0.035863	-11.645	-11.645	-45.137	56.594	70.888	1543.3	-0.39999	7615.4	0.21949	0.033448	6.7502e-07	1.4814e+06	28.562	30.115	178.36	33.465	42.019	246.61	5.2171e+05	6.1617	0.0073652
187.40	1.1363e-06	27.866	0.035886	-11.605	-11.605	-44.925	56.589	70.890	1539.8	-0.39981	7428.6	0.21943	0.033371	7.2947e-07	1.3709e+06	28.579	30.137	177.81	33.568	42.132	246.93	5.0115e+05	6.1787	0.0073969
187.97	1.2310e-06	27.849	0.035908	-11.565	-11.565	-44.713	56.585	70.890	1536.4	-0.39963	7247.8	0.21936	0.033293	7.8791e-07	1.2692e+06	28.596	30.158	177.26	33.674	42.248	247.24	4.8145e+05	6.1958	0.0074287
188.53	1.3329e-06	27.831	0.035931	-11.525	-11.525	-44.501	56.582	70.891	1532.9	-0.39947	7072.9	0.21930	0.033217	8.5061e-07	1.1756e+06	28.613	30.180	176.72	33.782	42.367	247.55	4.6255e+05	6.2129	0.0074606
189.09	1.4425e-06	27.813	0.035954	-11.486	-11.486	-44.290	56.579	70.891	1529.6	-0.39931	6903.7	0.21924	0.033140	9.1785e-07	1.0895e+06	28.630	30.202	176.17	33.893	42.488	247.87	4.4443e+05	6.2299	0.0074925
189.65	1.5604e-06	27.796	0.035977	-11.446	-11.446	-44.080	56.578	70.891	1526.2	-0.39916	6740.1	0.21917	0.033064	9.8991e-07	1.0102e+06	28.647	30.224	175.64	34.006	42.613	248.18	4.2706e+05	6.2470	0.0075245
190.21	1.6870e-06	27.778	0.035999	-11.406	-11.406	-43.870	56.577	70.891	1523.0	-0.39902	6581.7	0.21911	0.032988	1.0671e-06	9.3711e+05	28.664	30.245	175.10	34.122	42.740	248.49	4.1039e+05	6.2641	0.0075565
190.77	1.8230e-06	27.761	0.036022	-11.366	-11.366	-43.661	56.577	70.890	1519.7	-0.39888	6428.6	0.21904	0.032913	1.1498e-06	8.6973e+05	28.681	30.267	174.57	34.241	42.871	248.79	3.9439e+05	6.2812	0.0075886
191.34	1.9691e-06	27.743	0.036045	-11.326	-11.326	-43.453	56.577	70.890	1516.5	-0.39874	6280.3	0.21897	0.032838	1.2383e-06	8.0759e+05	28.698	30.289	174.04	34.363	43.004	249.10	3.7905e+05	6.2983	0.0076207
191.90	2.1258e-06	27.726	0.036068	-11.286	-11.286	-43.245	56.579	70.890	1513.3	-0.39861	6136.9	0.21890	0.032763	1.3329e-06	7.5024e+05	28.715	30.310	173.52	34.487	43.141	249.40	3.6433e+05	6.3154	0.0076529
192.46	2.2939e-06	27.708	0.036091	-11.247	-11.247	-43.038	56.582	70.890	1510.2	-0.39848	5998.1	0.21883	0.032688	1.4341e-06	6.9729e+05	28.733	30.332	173.00	34.614	43.281	249.71	3.5021e+05	6.3325	0.0076851
193.02	2.4741e-06	27.690	0.036113	-11.207	-11.207	-42.831	56.585	70.891	1507.1	-0.39835	5863.8	0.21876	0.032614	1.5423e-06	6.4838e+05	28.750	30.354	172.48	34.744	43.424	250.01	3.3666e+05	6.3496	0.0077174
193.58	2.6672e-06	27.673	0.036136	-11.167	-11.167	-42.625	56.589	70.892	1504.0	-0.39823	5733.8	0.21869	0.032540	1.6579e-06	6.0318e+05	28.767	30.375	171.97	34.876	43.570	250.31	3.2365e+05	6.3667	0.0077498
194.14	2.8740e-06	27.655	0.036159	-11.127	-11.127	-42.420	56.594	70.893	1501.0	-0.39810	5607.8	0.21862	0.032467	1.7813e-06	5.6138e+05	28.784	30.397	171.46	35.012	43.720	250.60	3.1117e+05	6.3838	0.0077822
194.71	3.0955e-06	27.638	0.036182	-11.087	-11.087	-42.215	56.600	70.895	1498.0	-0.39798	5485.9	0.21855	0.032393	1.9131e-06	5.2272e+05	28.801	30.419	170.96	35.150	43.873	250.90	2.9918e+05	6.4009	0.0078147
195.27	3.3325e-06	27.620	0.036205	-11.048	-11.048	-42.011	56.607	70.898	1495.0	-0.39786	5367.8	0.21847	0.032320	2.0536e-06	4.8694e+05	28.818	30.440	170.46	35.292	44.029	251.20	2.8768e+05	6.4181	0.0078472
195.83	3.5860e-06	27.603	0.036228	-11.008	-11.008	-41.807	56.615	70.901	1492.1	-0.39773	5253.4	0.21840	0.032248	2.2035e-06	4.5381e+05	28.835	30.462	169.96	35.436	44.188	251.49	2.7664e+05	6.4352	0.0078798
196.39	3.8570e-06	27.585	0.036251	-10.968	-10.968	-41.604	56.624	70.905	1489.2	-0.39760	5142.5	0.21832	0.032175	2.3634e-06	4.2313e+05	28.852	30.484	169.46	35.583	44.351	251.78	2.6603e+05	6.4523	0.0079124
196.95	4.1467e-06	27.568	0.036274	-10.928	-10.928	-41.402	56.633	70.909	1486.3	-0.39748	5035.1	0.21825	0.032103	2.5337e-06	3.9468e+05	28.868	30.505	168.97	35.733	44.517	252.07	2.5585e+05	6.4695	0.0079451
197.51	4.4561e-06	27.550	0.036298	-10.888	-10.888	-41.200	56.643	70.914	1483.4	-0.39735	4930.9	0.21817	0.032031	2.7151e-06	3.6832e+05	28.885	30.527	168.48	35.887	44.687	252.36	2.4608e+05	6.4866	0.0079779
198.08	4.7866e-06	27.533	0.036321	-10.848	-10.848	-40.998	56.655	70.920	1480.6	-0.39721	4829.9	0.21809	0.031960	2.9082e-06	3.4386e+05	28.902	30.548	168.00	36.043	44.860	252.65	2.3669e+05	6.5038	0.0080107
198.64	5.1393e-06	27.515	0.036344	-10.809	-10.809	-40.798	56.667	70.926	1477.8	-0.39708	4731.9	0.21802	0.031889	3.1138e-06	3.2116e+05	28.919	30.570	167.51	36.202	45.036	252.94	2.2767e+05	6.5209	0.0080435
199.20	5.5156e-06	27.498	0.036367	-10.769	-10.769	-40.597	56.679	70.933	1475.0	-0.39694	4636.9	0.21794	0.031818	3.3324e-06	3.0008e+05	28.936	30.591	167.03	36.365	45.216	253.22	2.1902e+05	6.5381	0.0080765
199.76	5.9170e-06	27.480	0.036390	-10.729	-10.729	-40.398	56.693	70.941	1472.2	-0.39680	4544.7	0.21786	0.031747	3.5650e-06	2.8051e+05	28.953	30.613	166.56	36.530	45.400	253.51	2.1070e+05	6.5553	0.0081095
200.32	6.3449e-06	27.463	0.036413	-10.689	-10.689	-40.198	56.707	70.949	1469.5	-0.39666	4455.2	0.21778	0.031677	3.8121e-06	2.6232e+05	28.970	30.634	166.09	36.699	45.587	253.79	2.0271e+05	6.5725	0.0081425
200.88	6.8009e-06	27.445	0.036436	-10.649	-10.649	-40.000	56.723	70.959	1466.8	-0.39651	4368.3	0.21770	0.031607	4.0748e-06	2.4541e+05	28.987	30.656	165.62	36.870	45.778	254.07	1.9503e+05	6.5896	0.0081756
201.45	7.2866e-06	27.428	0.036460	-10.609	-10.609	-39.802	56.739	70.969	1464.1	-0.39636	4283.9	0.21762	0.031537	4.3537e-06	2.2969e+05	29.004	30.677	165.15	37.045	45.972	254.35	1.8766e+05	6.6068	0.0082088
202.01	7.8038e-06	27.410	0.036483	-10.570	-10.570	-39.604	56.756	70.980	1461.4	-0.39621	4201.9	0.21754	0.031467	4.6499e-06	2.1506e+05	29.021	30.699	164.69	37.223	46.170	254.63	1.8058e+05	6.6240	0.0082420
202.57	8.3544e-06	27.393	0.036506	-10.530	-10.530	-39.407	56.773	70.991	1458.8	-0.39605	4122.3	0.21746	0.031398	4.9643e-06	2.0144e+05	29.038	30.720	164.23	37.405	46.372	254.91	1.7377e+05	6.6412	0.0082753
203.13	8.9400e-06	27.375	0.036529	-10.490	-10.490	-39.210	56.791	71.004	1456.1	-0.39589	4044.9	0.21738	0.031329	5.2978e-06	1.8876e+05	29.054	30.742	163.77	37.589	46.577	255.19	1.6723e+05	6.6584	0.0083087
203.69	9.5630e-06	27.358	0.036553	-10.450	-10.450	-39.014	56.810	71.017	1453.5	-0.39573	3969.6	0.21729	0.031260	5.6515e-06	1.7695e+05	29.071	30.763	163.32	37.776	46.786	255.46	1.6094e+05	6.6756	0.0083421
204.25	1.0225e-05	27.340	0.036576	-10.410	-10.410	-38.819	56.830	71.031	1450.9	-0.39556	3896.5	0.21721	0.031192	6.0264e-06	1.6594e+05	29.088	30.785	162.87	37.967	46.999	255.74	1.5490e+05	6.6929	0.0083756
204.82	1.0929e-05	27.323	0.036599	-10.370	-10.370	-38.624	56.851	71.045	1448.4	-0.39539	3825.3	0.21713	0.031124	6.4237e-06	1.5567e+05	29.105	30.806	162.42	38.161	47.215	256.01	1.4910e+05	6.7101	0.0084091
205.38	1.1677e-05	27.306	0.036623	-10.330	-10.330	-38.429	56.872	71.061	1445.8	-0.39521	3756.1	0.21704	0.031056	6.8446e-06	1.4610e+05	29.122	30.828	161.97	38.358	47.435	256.28	1.4352e+05	6.7273	0.0084427
205.94	1.2471e-05	27.288	0.036646	-10.290	-10.290	-38.235	56.894	71.077	1443.2	-0.39503	3688.7	0.21696	0.030988	7.2903e-06	1.3717e+05	29.138	30.849	161.53	38.559	47.659	256.55	1.3816e+05	6.7445	0.0084764
206.50	1.3313e-05	27.271	0.036669	-10.250	-10.250	-38.041	56.916	71.094	1440.7	-0.39485	3623.2	0.21687	0.030921	7.7621e-06	1.2883e+05	29.155	30.870	161.09	38.762	47.886	256.82	1.3301e+05	6.7618	0.0085101
207.06	1.4208e-05	27.253	0.036693	-10.210	-10.210	-37.848	56.940	71.111	1438.2	-0.39466	3559.3	0.21679	0.030853	8.2614e-06	1.2105e+05	29.172	30.892	160.65	38.969	48.118	257.09	1.2805e+05	6.7790	0.0085439
207.62	1.5156e-05	27.236	0.036716	-10.170	-10.170	-37.656	56.964	71.130	1435.7	-0.39446	3497.2	0.21670	0.030787	8.7895e-06	1.1377e+05	29.189	30.913	160.22	39.179	48.353	257.36	1.2329e+05	6.7963	0.0085778
208.19	1.6162e-05	27.219	0.036740	-10.131	-10.131	-37.463	56.988	71.149	1433.2	-0.39427	3436.6	0.21662	0.030720	9.3479e-06	1.0698e+05	29.205	30.934	159.79	39.393	48.592	257.63	1.1871e+05	6.8135	0.0086117
208.75	1.7229e-05	27.201	0.036763	-10.091	-10.091	-37.272	57.013	71.168	1430.7	-0.39407	3377.6	0.21653	0.030654	9.9382e-06	1.0062e+05	29.222	30.956	159.36	39.609	48.834	257.90	1.1431e+05	6.8308	0.0086457
209.31	1.8359e-05	27.184	0.036787	-10.051	-10.051	-37.080	57.039	71.189	1428.3	-0.39386	3320.1	0.21644	0.030587	1.0562e-05	94680.	29.239	30.977	158.93	39.829	49.081	258.16	1.1008e+05	6.8481	0.0086798
209.87	1.9555e-05	27.167	0.036810	-10.011	-10.011	-36.890	57.066	71.210	1425.8	-0.39366	3264.0	0.21635	0.030522	1.1221e-05	89121.	29.255	30.998	158.51	40.052	49.331	258.42	1.0601e+05	6.8653	0.0087139
210.43	2.0823e-05	27.149	0.036834	-9.9706	-9.9706	-36.699	57.093	71.232	1423.4	-0.39344	3209.4	0.21627	0.030456	1.1916e-05	83917.	29.272	31.020	158.09	40.279	49.585	258.69	1.0210e+05	6.8826	0.0087481
210.99	2.2164e-05	27.132	0.036857	-9.9306	-9.9306	-36.509	57.121	71.254	1421.0	-0.39323	3156.1	0.21618	0.030391	1.2651e-05	79046.	29.289	31.041	157.67	40.508	49.843	258.95	98335.	6.8999	0.0087823
211.56	2.3584e-05	27.115	0.036881	-9.8905	-9.8905	-36.320	57.149	71.277	1418.6	-0.39301	3104.1	0.21609	0.030325	1.3426e-05	74483.	29.305	31.062	157.26	40.741	50.104	259.21	94717.	6.9172	0.0088166
212.12	2.5085e-05	27.097	0.036904	-9.8505	-9.8505	-36.131	57.178	71.301	1416.1	-0.39278	3053.4	0.21600	0.030261	1.4243e-05	70208.	29.322	31.083	156.85	40.977	50.370	259.47	91238.	6.9345	0.0088510
212.68	2.6672e-05	27.080	0.036928	-9.8104	-9.8104	-35.942	57.207	71.326	1413.8	-0.39256	3003.9	0.21591	0.030196	1.5105e-05	66201.	29.339	31.104	156.44	41.217	50.639	259.73	87892.	6.9518	0.0088855
213.24	2.8351e-05	27.063	0.036951	-9.7704	-9.7704	-35.754	57.237	71.351	1411.4	-0.39233	2955.5	0.21582	0.030132	1.6014e-05	62444.	29.355	31.126	156.03	41.459	50.912	259.99	84673.	6.9691	0.0089200
213.80	3.0124e-05	27.045	0.036975	-9.7303	-9.7303	-35.567	57.268	71.376	1409.0	-0.39209	2908.3	0.21573	0.030067	1.6972e-05	58921.	29.372	31.147	155.62	41.705	51.189	260.25	81578.	6.9864	0.0089546
214.36	3.1997e-05	27.028	0.036999	-9.6902	-9.6902	-35.379	57.299	71.403	1406.6	-0.39185	2862.2	0.21564	0.030003	1.7981e-05	55614.	29.388	31.168	155.22	41.954	51.469	260.51	78601.	7.0037	0.0089893
214.93	3.3975e-05	27.011	0.037022	-9.6501	-9.6501	-35.192	57.331	71.430	1404.3	-0.39161	2817.2	0.21555	0.029940	1.9044e-05	52511.	29.405	31.189	154.82	42.206	51.753	260.77	75737.	7.0210	0.0090240
215.49	3.6064e-05	26.994	0.037046	-9.6100	-9.6100	-35.006	57.363	71.457	1401.9	-0.39137	2773.2	0.21545	0.029876	2.0162e-05	49597.	29.421	31.210	154.43	42.461	52.042	261.03	72982.	7.0383	0.0090588
216.05	3.8268e-05	26.976	0.037069	-9.5698	-9.5698	-34.820	57.396	71.485	1399.6	-0.39112	2730.3	0.21536	0.029813	2.1340e-05	46860.	29.438	31.231	154.03	42.719	52.333	261.28	70332.	7.0557	0.0090936
216.61	4.0593e-05	26.959	0.037093	-9.5297	-9.5297	-34.634	57.430	71.514	1397.3	-0.39087	2688.2	0.21527	0.029750	2.2579e-05	44289.	29.454	31.252	153.64	42.981	52.629	261.54	67782.	7.0730	0.0091286
217.17	4.3045e-05	26.942	0.037117	-9.4895	-9.4895	-34.449	57.464	71.543	1394.9	-0.39061	2647.2	0.21518	0.029687	2.3882e-05	41872.	29.471	31.273	153.25	43.245	52.928	261.79	65329.	7.0904	0.0091636
217.73	4.5630e-05	26.925	0.037141	-9.4493	-9.4493	-34.264	57.498	71.573	1392.6	-0.39035	2607.0	0.21508	0.029625	2.5253e-05	39600.	29.487	31.294	152.86	43.513	53.231	262.05	62969.	7.1077	0.0091987
218.30	4.8355e-05	26.908	0.037164	-9.4091	-9.4091	-34.080	57.533	71.603	1390.3	-0.39009	2567.7	0.21499	0.029562	2.6693e-05	37463.	29.504	31.315	152.48	43.784	53.538	262.30	60699.	7.1251	0.0092338
218.86	5.1226e-05	26.890	0.037188	-9.3689	-9.3689	-33.896	57.569	71.634	1388.0	-0.38983	2529.3	0.21490	0.029500	2.8207e-05	35452.	29.520	31.336	152.09	44.058	53.848	262.55	58514.	7.1424	0.0092690
219.42	5.4250e-05	26.873	0.037212	-9.3286	-9.3286	-33.712	57.605	71.665	1385.7	-0.38956	2491.7	0.21480	0.029438	2.9797e-05	33560.	29.536	31.357	151.71	44.335	54.163	262.81	56411.	7.1598	0.0093043
219.98	5.7435e-05	26.856	0.037236	-9.2884	-9.2884	-33.529	57.642	71.697	1383.4	-0.38929	2454.9	0.21471	0.029376	3.1468e-05	31779.	29.553	31.378	151.33	44.615	54.480	263.06	54388.	7.1771	0.0093397
220.54	6.0787e-05	26.839	0.037260	-9.2481	-9.2481	-33.346	57.679	71.729	1381.1	-0.38902	2418.9	0.21461	0.029315	3.3222e-05	30101.	29.569	31.399	150.96	44.898	54.802	263.31	52441.	7.1945	0.0093751
221.10	6.4316e-05	26.822	0.037283	-9.2078	-9.2078	-33.164	57.716	71.762	1378.8	-0.38874	2383.7	0.21452	0.029254	3.5062e-05	28521.	29.586	31.420	150.59	45.184	55.127	263.56	50567.	7.2119	0.0094106
221.67	6.8027e-05	26.804	0.037307	-9.1675	-9.1675	-32.981	57.755	71.795	1376.6	-0.38846	2349.2	0.21442	0.029193	3.6994e-05	27031.	29.602	31.441	150.21	45.473	55.455	263.82	48763.	7.2293	0.0094462
222.23	7.1931e-05	26.787	0.037331	-9.1271	-9.1271	-32.800	57.793	71.829	1374.3	-0.38818	2315.4	0.21432	0.029132	3.9021e-05	25627.	29.618	31.462	149.85	45.765	55.788	264.07	47027.	7.2467	0.0094818
222.79	7.6036e-05	26.770	0.037355	-9.0868	-9.0868	-32.618	57.832	71.864	1372.0	-0.38789	2282.3	0.21423	0.029071	4.1146e-05	24304.	29.634	31.482	149.48	46.059	56.123	264.32	45356.	7.2641	0.0095175
223.35	8.0351e-05	26.753	0.037379	-9.0464	-9.0464	-32.437	57.872	71.899	1369.8	-0.38761	2249.8	0.21413	0.029011	4.3374e-05	23055.	29.651	31.503	149.11	46.357	56.463	264.57	43748.	7.2815	0.0095533
223.91	8.4885e-05	26.736	0.037403	-9.0060	-9.0060	-32.257	57.912	71.934	1367.5	-0.38731	2218.1	0.21403	0.028951	4.5710e-05	21877.	29.667	31.524	148.75	46.657	56.805	264.82	42200.	7.2989	0.0095892
224.47	8.9648e-05	26.719	0.037427	-8.9656	-8.9656	-32.076	57.953	71.970	1365.3	-0.38702	2186.9	0.21394	0.028890	4.8157e-05	20765.	29.683	31.545	148.39	46.961	57.152	265.07	40709.	7.3163	0.0096252
225.04	9.4651e-05	26.702	0.037451	-8.9252	-8.9252	-31.897	57.994	72.006	1363.0	-0.38673	2156.4	0.21384	0.028831	5.0721e-05	19716.	29.699	31.565	148.03	47.267	57.501	265.32	39274.	7.3337	0.0096612
225.60	9.9903e-05	26.685	0.037475	-8.8847	-8.8847	-31.717	58.036	72.043	1360.8	-0.38643	2126.5	0.21374	0.028771	5.3406e-05	18725.	29.715	31.586	147.68	47.576	57.855	265.56	37893.	7.3511	0.0096973
226.16	0.00010542	26.668	0.037499	-8.8443	-8.8443	-31.538	58.078	72.080	1358.6	-0.38613	2097.2	0.21364	0.028712	5.6217e-05	17788.	29.732	31.607	147.32	47.887	58.211	265.81	36563.	7.3685	0.0097334
226.72	0.00011120	26.651	0.037523	-8.8038	-8.8038	-31.359	58.121	72.118	1356.3	-0.38582	2068.4	0.21355	0.028652	5.9159e-05	16904.	29.748	31.627	146.97	48.202	58.571	266.06	35282.	7.3860	0.0097697
227.28	0.00011727	26.633	0.037547	-8.7632	-8.7632	-31.181	58.164	72.156	1354.1	-0.38551	2040.3	0.21345	0.028593	6.2238e-05	16067.	29.764	31.648	146.62	48.519	58.934	266.31	34049.	7.4034	0.0098060
227.84	0.00012364	26.616	0.037571	-8.7227	-8.7227	-31.002	58.208	72.195	1351.9	-0.38521	2012.6	0.21335	0.028534	6.5459e-05	15277.	29.780	31.669	146.27	48.838	59.301	266.56	32861.	7.4208	0.0098424
228.41	0.00013031	26.599	0.037595	-8.6821	-8.6821	-30.825	58.252	72.234	1349.7	-0.38489	1985.5	0.21325	0.028476	6.8828e-05	14529.	29.796	31.689	145.93	49.160	59.671	266.80	31717.	7.4383	0.0098789
228.97	0.00013731	26.582	0.037619	-8.6416	-8.6416	-30.647	58.297	72.273	1347.4	-0.38458	1958.9	0.21315	0.028417	7.2351e-05	13822.	29.812	31.710	145.59	49.485	60.044	267.05	30616.	7.4557	0.0099154
229.53	0.00014464	26.565	0.037643	-8.6010	-8.6010	-30.470	58.342	72.313	1345.2	-0.38426	1932.7	0.21305	0.028359	7.6033e-05	13152.	29.828	31.730	145.24	49.812	60.420	267.30	29555.	7.4732	0.0099521
230.09	0.00015232	26.548	0.037667	-8.5603	-8.5603	-30.293	58.387	72.354	1343.0	-0.38395	1907.1	0.21295	0.028301	7.9882e-05	12519.	29.844	31.751	144.90	50.142	60.800	267.55	28533.	7.4907	0.0099888
230.65	0.00016036	26.531	0.037691	-8.5197	-8.5197	-30.117	58.434	72.395	1340.8	-0.38362	1882.0	0.21285	0.028243	8.3903e-05	11919.	29.860	31.771	144.57	50.474	61.182	267.79	27549.	7.5081	0.010026
231.21	0.00016879	26.514	0.037715	-8.4790	-8.4790	-29.941	58.480	72.436	1338.6	-0.38330	1857.3	0.21275	0.028185	8.8102e-05	11350.	29.876	31.792	144.23	50.809	61.568	268.04	26601.	7.5256	0.010062
231.77	0.00017761	26.497	0.037740	-8.4383	-8.4383	-29.765	58.527	72.478	1336.4	-0.38297	1833.0	0.21265	0.028128	9.2488e-05	10812.	29.892	31.812	143.90	51.146	61.957	268.29	25687.	7.5431	0.010099
232.34	0.00018684	26.480	0.037764	-8.3976	-8.3976	-29.589	58.575	72.520	1334.2	-0.38265	1809.2	0.21255	0.028070	9.7067e-05	10302.	29.908	31.833	143.57	51.485	62.348	268.53	24807.	7.5605	0.010136
232.90	0.00019649	26.463	0.037788	-8.3569	-8.3569	-29.414	58.623	72.563	1332.0	-0.38232	1785.9	0.21245	0.028013	0.00010185	9818.7	29.924	31.853	143.24	51.827	62.743	268.78	23960.	7.5780	0.010174
233.46	0.00020659	26.446	0.037812	-8.3161	-8.3161	-29.239	58.672	72.606	1329.8	-0.38198	1762.9	0.21235	0.027956	0.00010683	9360.4	29.940	31.874	142.91	52.171	63.141	269.03	23143.	7.5955	0.010211
234.02	0.00021716	26.429	0.037837	-8.2753	-8.2753	-29.065	58.721	72.649	1327.7	-0.38165	1740.4	0.21225	0.027899	0.00011204	8925.7	29.956	31.894	142.58	52.517	63.541	269.27	22356.	7.6130	0.010248
234.58	0.00022820	26.413	0.037861	-8.2345	-8.2345	-28.891	58.771	72.693	1325.5	-0.38131	1718.2	0.21215	0.027842	0.00011746	8513.4	29.972	31.914	142.26	52.865	63.945	269.52	21597.	7.6305	0.010285
235.14	0.00023975	26.396	0.037885	-8.1936	-8.1936	-28.717	58.821	72.738	1323.3	-0.38097	1696.5	0.21204	0.027786	0.00012312	8122.1	29.987	31.935	141.94	53.215	64.351	269.76	20866.	7.6480	0.010323
235.71	0.00025181	26.379	0.037909	-8.1528	-8.1528	-28.543	58.871	72.783	1321.1	-0.38063	1675.1	0.21194	0.027730	0.00012902	7750.7	30.003	31.955	141.62	53.567	64.760	270.01	20162.	7.6655	0.010360
