Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
216.59	0.51796	26.777	0.037345	3.5030	3.5223	22.943	42.895	85.960	975.85	-0.14430	253.37	0.17716	0.016494	0.31268	3.1982	17.286	18.943	94.138	27.691	39.992	222.78	26.174	10.892	0.011116
216.74	0.52126	26.765	0.037362	3.5155	3.5349	23.001	42.885	85.975	974.79	-0.14379	252.75	0.17698	0.016460	0.31458	3.1789	17.288	18.945	94.100	27.709	40.032	222.79	26.126	10.899	0.011129
216.88	0.52457	26.753	0.037378	3.5279	3.5475	23.058	42.876	85.990	973.73	-0.14328	252.13	0.17679	0.016426	0.31648	3.1597	17.290	18.947	94.063	27.727	40.071	222.81	26.078	10.906	0.011142
217.03	0.52789	26.742	0.037395	3.5404	3.5601	23.116	42.867	86.005	972.68	-0.14276	251.51	0.17661	0.016391	0.31840	3.1407	17.292	18.950	94.026	27.745	40.110	222.83	26.030	10.913	0.011155
217.18	0.53124	26.730	0.037412	3.5528	3.5727	23.173	42.858	86.020	971.62	-0.14225	250.89	0.17643	0.016357	0.32032	3.1219	17.294	18.952	93.988	27.763	40.150	222.85	25.982	10.921	0.011168
217.32	0.53459	26.718	0.037428	3.5653	3.5853	23.230	42.849	86.035	970.57	-0.14173	250.28	0.17625	0.016322	0.32226	3.1031	17.296	18.954	93.951	27.781	40.190	222.86	25.934	10.928	0.011181
217.47	0.53797	26.706	0.037445	3.5777	3.5979	23.288	42.839	86.051	969.51	-0.14121	249.66	0.17606	0.016288	0.32420	3.0845	17.297	18.957	93.914	27.800	40.229	222.88	25.887	10.935	0.011194
217.61	0.54136	26.694	0.037462	3.5902	3.6105	23.345	42.830	86.066	968.46	-0.14068	249.05	0.17588	0.016254	0.32615	3.0661	17.299	18.959	93.877	27.818	40.269	222.90	25.839	10.942	0.011207
217.76	0.54476	26.682	0.037479	3.6027	3.6231	23.402	42.821	86.082	967.40	-0.14016	248.44	0.17570	0.016219	0.32811	3.0477	17.301	18.961	93.840	27.836	40.309	222.92	25.792	10.950	0.011220
217.91	0.54818	26.670	0.037495	3.6151	3.6357	23.460	42.812	86.098	966.35	-0.13963	247.83	0.17552	0.016185	0.33008	3.0295	17.303	18.964	93.803	27.854	40.350	222.93	25.745	10.957	0.011233
218.05	0.55162	26.658	0.037512	3.6276	3.6483	23.517	42.803	86.113	965.29	-0.13910	247.23	0.17533	0.016150	0.33206	3.0115	17.305	18.966	93.766	27.872	40.390	222.95	25.698	10.964	0.011246
218.20	0.55508	26.646	0.037529	3.6401	3.6609	23.574	42.794	86.129	964.24	-0.13857	246.62	0.17515	0.016116	0.33405	2.9936	17.307	18.968	93.729	27.891	40.431	222.96	25.651	10.972	0.011259
218.34	0.55855	26.634	0.037546	3.6525	3.6735	23.631	42.784	86.146	963.18	-0.13803	246.02	0.17497	0.016082	0.33605	2.9758	17.309	18.971	93.692	27.909	40.471	222.98	25.604	10.979	0.011273
218.49	0.56203	26.622	0.037563	3.6650	3.6861	23.688	42.775	86.162	962.13	-0.13750	245.42	0.17479	0.016048	0.33806	2.9581	17.310	18.973	93.655	27.927	40.512	223.00	25.558	10.986	0.011286
218.63	0.56554	26.610	0.037580	3.6775	3.6987	23.745	42.766	86.178	961.07	-0.13696	244.82	0.17460	0.016013	0.34007	2.9405	17.312	18.975	93.618	27.946	40.553	223.01	25.511	10.993	0.011299
218.78	0.56906	26.598	0.037597	3.6899	3.7113	23.803	42.757	86.195	960.02	-0.13641	244.22	0.17442	0.015979	0.34210	2.9231	17.314	18.978	93.581	27.964	40.594	223.03	25.465	11.001	0.011312
218.93	0.57259	26.586	0.037614	3.7024	3.7240	23.860	42.748	86.211	958.97	-0.13587	243.62	0.17424	0.015945	0.34413	2.9058	17.316	18.980	93.545	27.983	40.635	223.04	25.419	11.008	0.011325
219.07	0.57615	26.574	0.037631	3.7149	3.7366	23.917	42.739	86.228	957.91	-0.13532	243.03	0.17406	0.015911	0.34618	2.8887	17.318	18.982	93.508	28.001	40.677	223.06	25.373	11.015	0.011339
219.22	0.57972	26.562	0.037648	3.7274	3.7492	23.974	42.730	86.245	956.86	-0.13478	242.44	0.17387	0.015876	0.34823	2.8716	17.320	18.984	93.471	28.020	40.718	223.07	25.327	11.023	0.011352
219.36	0.58330	26.550	0.037665	3.7398	3.7618	24.031	42.721	86.262	955.81	-0.13423	241.85	0.17369	0.015842	0.35030	2.8547	17.321	18.987	93.435	28.038	40.760	223.09	25.282	11.030	0.011365
219.51	0.58690	26.538	0.037682	3.7523	3.7744	24.087	42.712	86.279	954.75	-0.13367	241.26	0.17351	0.015808	0.35237	2.8379	17.323	18.989	93.398	28.057	40.802	223.10	25.236	11.037	0.011379
219.66	0.59052	26.526	0.037699	3.7648	3.7871	24.144	42.703	86.297	953.70	-0.13312	240.67	0.17333	0.015774	0.35445	2.8212	17.325	18.991	93.362	28.075	40.844	223.11	25.191	11.044	0.011392
219.80	0.59416	26.514	0.037716	3.7773	3.7997	24.201	42.694	86.314	952.65	-0.13256	240.08	0.17315	0.015740	0.35655	2.8047	17.327	18.993	93.325	28.094	40.886	223.13	25.145	11.052	0.011405
219.95	0.59781	26.502	0.037734	3.7898	3.8123	24.258	42.685	86.331	951.59	-0.13200	239.50	0.17296	0.015705	0.35865	2.7882	17.329	18.996	93.289	28.113	40.928	223.14	25.100	11.059	0.011419
220.09	0.60148	26.490	0.037751	3.8023	3.8250	24.315	42.676	86.349	950.54	-0.13144	238.91	0.17278	0.015671	0.36076	2.7719	17.330	18.998	93.253	28.132	40.971	223.16	25.055	11.066	0.011432
220.24	0.60517	26.477	0.037768	3.8148	3.8376	24.372	42.667	86.367	949.49	-0.13087	238.33	0.17260	0.015637	0.36288	2.7557	17.332	19.000	93.216	28.150	41.013	223.17	25.010	11.074	0.011446
220.39	0.60887	26.465	0.037785	3.8273	3.8503	24.428	42.658	86.385	948.43	-0.13030	237.75	0.17242	0.015603	0.36501	2.7396	17.334	19.002	93.180	28.169	41.056	223.18	24.966	11.081	0.011459
220.53	0.61259	26.453	0.037803	3.8398	3.8629	24.485	42.649	86.403	947.38	-0.12973	237.17	0.17224	0.015569	0.36715	2.7236	17.336	19.004	93.144	28.188	41.099	223.19	24.921	11.088	0.011473
220.68	0.61633	26.441	0.037820	3.8523	3.8756	24.542	42.640	86.421	946.33	-0.12916	236.60	0.17206	0.015535	0.36931	2.7078	17.338	19.006	93.108	28.207	41.142	223.21	24.877	11.096	0.011486
220.82	0.62009	26.429	0.037837	3.8648	3.8882	24.599	42.632	86.440	945.28	-0.12859	236.02	0.17188	0.015501	0.37147	2.6920	17.339	19.009	93.071	28.226	41.185	223.22	24.832	11.103	0.011500
